"","Comparison","SIMPER","OTU"
"1","Low Fat_High Fat",0.206687059153306,"Otu00001"
"2","Low Fat_High Fat",0.115757845180709,"Otu00002"
"3","Low Fat_High Fat",0.080155067210984,"Otu00023"
"4","Low Fat_High Fat",0.079771399050409,"Otu00015"
"5","Low Fat_Saccharin",0.175068973280826,"Otu00001"
"6","Low Fat_Saccharin",0.14252595182643,"Otu00002"
"7","Low Fat_Saccharin",0.097124677458166,"Otu00023"
"8","Low Fat_Stevia",0.203591387831834,"Otu00001"
"9","Low Fat_Stevia",0.097231632419557,"Otu00012"
"10","Low Fat_Stevia",0.087484097129706,"Otu00023"
"11","Low Fat_Stevia",0.075268388840094,"Otu00014"
"12","High Fat_Saccharin",0.19043639167956,"Otu00002"
"13","High Fat_Saccharin",0.101671538503909,"Otu00001"
"14","High Fat_Saccharin",0.088365241820676,"Otu00012"
"15","High Fat_Saccharin",0.073058330020817,"Otu00010"
"16","High Fat_Stevia",0.177056757966101,"Otu00002"
"17","High Fat_Stevia",0.089590539866054,"Otu00012"
"18","High Fat_Stevia",0.079545050869101,"Otu00018"
"19","High Fat_Stevia",0.067035883332693,"Otu00010"
"20","High Fat_Stevia",0.063838862243956,"Otu00001"
"21","Saccharin_Stevia",0.188997990030396,"Otu00002"
"22","Saccharin_Stevia",0.096858287742865,"Otu00001"
"23","Saccharin_Stevia",0.087440589361142,"Otu00014"
"24","Saccharin_Stevia",0.087096935525306,"Otu00010"
"25","Male_Female",0.152247884028057,"Otu00001"
"26","Male_Female",0.133152799236151,"Otu00002"
"27","Male_Female",0.086255753257743,"Otu00012"
"28","Male_Female",0.07465331106724,"Otu00023"
