"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Pre-treatment_Post-treatment",0.0562128876463083,"Otu00014",0.000331065830938524,0.0044708000699072,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0,0,0.0870629140461473,0.0280272199405592
"2",2,"Pre-treatment_Post-treatment",0.0493746403975187,"Otu00001",0.52211587925088,0.854639943802123,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0546074670395974,0.0851510568418237,0.0661798901468922,0.0471360604200028
"3",3,"Pre-treatment_Post-treatment",0.048948775551756,"Otu00012",0.00064063901472727,0.0044708000699072,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.00190725072021207,0.00341802035655478,0.0776847872444682,0.019334441345234
"4",4,"Pre-treatment_Post-treatment",0.044952505804083,"Otu00013",0.666227645409616,0.86176409230065,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0700906471224129,0.0755017875951817,0.00557817157711365,0.00765055578793032
"5",5,"Pre-treatment_Post-treatment",0.044020216602883,"Otu00005",0.0027417331272205,0.00900855170372451,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0734164676650204,0.0774543047130072,0.0053147724831654,0.00416045512382931
"6",6,"Pre-treatment_Post-treatment",0.042120847332129,"Otu00002",0.958091128226721,0.958091128226721,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0530086355480666,0.0471525703948012,0.0703680736641404,0.0689861884590912
"7",7,"Pre-treatment_Post-treatment",0.041782849364061,"Otu00010",0.000777530446940383,0.0044708000699072,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0120670105916223,0.00887055470811872,0.0766807129010253,0.0367884130929382
"8",8,"Pre-treatment_Post-treatment",0.041754146674217,"Otu00006",0.246737636807881,0.567496564658126,"Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma",0.0650011804013737,0.0706042394937696,0.000262781186085181,0.000397680247903015
"9",9,"Pre-treatment_Post-treatment",0.036814812086988,"Otu00008",0.000553717795827587,0.0044708000699072,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0574677648187516,0.0522536434700063,0.000130718963182978,0.000242044498101584
"10",10,"Pre-treatment_Post-treatment",0.033912004258779,"Otu00004",0.00232209451587801,0.00890136231086572,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium",0.0358069281985849,0.0103760847100736,0.0878084812829316,0.0295610070880349
"11",11,"Pre-treatment_Post-treatment",0.033691470414811,"Otu00009",0.862064716070073,0.944166117600556,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0468694365073103,0.0812906156966178,0.0157938587772306,0.0181084644753644
"12",12,"Female_Male",0.0562967705540826,"Otu00013",0.0112746152015495,0.0324145187044549,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.00104889019747888,0.00160718732637055,0.0746199285020477,0.0710049520153277
"13",13,"Female_Male",0.0538529167105714,"Otu00001",0.557373876392689,0.854639943802123,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0539444727048676,0.0685031563785845,0.066842884481622,0.0690020760313237
"14",14,"Female_Male",0.049778705993796,"Otu00006",0.00118167244260841,0.00543569323599871,"Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus",0.0652639615874588,0.070328332120528,0,0
"15",15,"Female_Male",0.048424534941785,"Otu00002",0.400467549571982,0.7675628033463,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.0711269748218314,0.0580029637205737,0.0522497343903757,0.059888952701352
"16",16,"Female_Male",0.044321094301025,"Otu00005",0.833514212953311,0.944166117600556,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter",0.0188461939632021,0.0230952553612982,0.0598850461849838,0.0846811069975458
