Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
All,Low Fat_High Fat,0.070295888,Otu00001,0.111126161,0.27871158,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.107898618,0.099138203,0.063530323,0.079899
All,Low Fat_High Fat,0.057844021,Otu00007,0.029767035,0.093510585,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.079931425,0.102879136,0.013327684,0.022651115
All,Low Fat_High Fat,0.052185876,Otu00002,0.002367308,0.012478521,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.009959929,0.01132593,0.079453501,0.083065779
All,Low Fat_High Fat,0.042649437,Otu00006,0.375825495,0.605604813,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.040754494,0.056497571,0.036993495,0.075618479
All,Low Fat_High Fat,0.040188464,Otu00004,9.56E-07,3.77E-05,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.021506538,0.015911044,0.078046826,0.035839229
All,Low Fat_High Fat,0.038782705,Otu00008,0.001541811,0.009221216,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.059466436,0.05452873,0.018515774,0.029872434
All,Low Fat_High Fat,0.035787621,Otu00011,0.548390724,0.740783229,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.039062025,0.036998116,0.032921257,0.058068352
All,Low Fat_High Fat,0.032203399,Otu00005,0.692970312,0.81301634,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.027688828,0.028268022,0.045990196,0.058645455
All,Low Fat_High Fat,0.032185275,Otu00013,0.275183514,0.515554655,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.026545928,0.044644044,0.031698953,0.058732281
All,Low Fat_High Fat,0.030436653,Otu00023,0.079169353,0.20690478,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.042599276,0.056715568,0.005145522,0.010008542
All,Low Fat_High Fat,0.028873202,Otu00009,0.043375265,0.128417535,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.027020121,0.052365171,0.019112856,0.066104668
All,Low Fat_High Fat,0.026997029,Otu00012,0.003200045,0.015797046,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.002256258,0.003067706,0.039085252,0.041285205
All,Low Fat_Saccharin,0.069808685,Otu00001,0.556884052,0.740783229,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.107898618,0.099138203,0.084863498,0.079592034
All,Low Fat_Saccharin,0.064574951,Otu00002,3.97E-06,0.000112373,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.009959929,0.01132593,0.099411156,0.096210667
All,Low Fat_Saccharin,0.058133576,Otu00007,0.008546,0.034516959,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.079931425,0.102879136,0.011241551,0.025000581
All,Low Fat_Saccharin,0.04359963,Otu00005,0.781157411,0.870752527,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.027688828,0.028268022,0.061371521,0.096040223
All,Low Fat_Saccharin,0.039789354,Otu00008,0.013754113,0.051360754,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.059466436,0.05452873,0.02663524,0.039767746
All,Low Fat_Saccharin,0.038990758,Otu00006,0.679006069,0.805995753,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.040754494,0.056497571,0.031915497,0.060733252
All,Low Fat_Saccharin,0.038042787,Otu00004,0.000125529,0.002054712,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.021506538,0.015911044,0.070710101,0.042603667
