"pvals","BH","Group","Comp"
"1",0.65,0.802941176470588,"Pre","High Fat Low Fat"
"2",0.877,0.898390243902439,"Pre","High Fat Saccharin"
"3",0.874,0.898390243902439,"Pre","High Fat Stevia"
"4",0.437,0.6118,"Pre","Low Fat Saccharin"
"5",0.787,0.893351351351351,"Pre","Low Fat Stevia"
"6",0.763,0.890166666666667,"Pre","Saccharin Stevia"
"7",0.001,0.00525,"Post","High Fat Low Fat"
"8",0.085,0.187894736842105,"Post","High Fat Saccharin"
"9",0.184,0.351272727272727,"Post","High Fat Stevia"
"10",0.001,0.00525,"Post","Low Fat Saccharin"
"11",0.001,0.00525,"Post","Low Fat Stevia"
"12",0.024,0.063,"Post","Saccharin Stevia"
"13",0.505,0.684193548387097,"Pre Fem","High Fat Low Fat"
"14",0.649,0.802941176470588,"Pre Fem","High Fat Saccharin"
"15",0.256,0.43008,"Pre Fem","High Fat Stevia"
"16",0.698,0.8376,"Pre Fem","Low Fat Saccharin"
"17",0.337,0.544384615384615,"Pre Fem","Low Fat Stevia"
"18",0.855,0.898390243902439,"Pre Fem","Saccharin Stevia"
"19",0.386,0.570620689655172,"Pre Mal","High Fat Low Fat"
"20",0.541,0.7100625,"Pre Mal","High Fat Saccharin"
"21",0.951,0.951,"Pre Mal","High Fat Stevia"
"22",0.05,0.116666666666667,"Pre Mal","Low Fat Saccharin"
"23",0.208,0.3745,"Pre Mal","Low Fat Stevia"
"24",0.214,0.3745,"Pre Mal","Saccharin Stevia"
"25",0.006,0.0252,"Post Fem","High Fat Low Fat"
"26",0.14,0.294,"Post Fem","High Fat Saccharin"
"27",0.37,0.570620689655172,"Post Fem","High Fat Stevia"
"28",0.011,0.0385,"Post Fem","Low Fat Saccharin"
"29",0.015,0.045,"Post Fem","Low Fat Stevia"
"30",0.024,0.063,"Post Fem","Saccharin Stevia"
"31",0.012,0.0387692307692308,"Post Mal","High Fat Low Fat"
"32",0.045,0.111176470588235,"Post Mal","High Fat Saccharin"
"33",0.83,0.898390243902439,"Post Mal","High Fat Stevia"
"34",0.01,0.0381818181818182,"Post Mal","Low Fat Saccharin"
"35",0.004,0.0186666666666667,"Post Mal","Low Fat Stevia"
"36",0.394,0.570620689655172,"Post Mal","Saccharin Stevia"
"37",0.001,0.00525,"High Fat","Time"
"38",0.001,0.00525,"Low Fat","Time"
"39",0.001,0.00525,"Saccharin","Time"
"40",0.001,0.00525,"Stevia","Time"
"41",0.001,0.00525,"Pre","Sex"
"42",0.163,0.326,"Post","Sex"
