"","Comparison","SIMPER","OTU"
"1","Low Fat_High Fat",0.3209031579434,"Otu00001"
"2","Low Fat_High Fat",0.156176220756214,"Otu00012"
"3","Low Fat_Saccharin",0.225413482771795,"Otu00001"
"4","Low Fat_Saccharin",0.118388946288205,"Otu00012"
"5","Low Fat_Saccharin",0.109754033693269,"Otu00008"
"6","Low Fat_Stevia",0.207230952546887,"Otu00001"
"7","Low Fat_Stevia",0.168679910999195,"Otu00012"
"8","Low Fat_Stevia",0.115939249743983,"Otu00008"
"9","High Fat_Saccharin",0.302703754926413,"Otu00001"
"10","High Fat_Saccharin",0.156312590279902,"Otu00012"
"11","High Fat_Stevia",0.316542742631398,"Otu00001"
"12","High Fat_Stevia",0.174598176884579,"Otu00012"
"13","Saccharin_Stevia",0.210547011166029,"Otu00001"
"14","Saccharin_Stevia",0.17758280415938,"Otu00012"
"15","Saccharin_Stevia",0.111141542122276,"Otu00015"
"16","Male_Female",0.249376760485278,"Otu00001"
"17","Male_Female",0.199695453083147,"Otu00012"
