Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,0.076156858,Otu00002,0.05750182,0.126504005,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.025995677,0.02185454,0.132911325,0.088061366
Pre-treatment_Post-treatment,0.061356674,Otu00001,0.043002876,0.10511814,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.057251324,0.114182811,0.069809321,0.020958514
Pre-treatment_Post-treatment,0.049090565,Otu00005,0.001720144,0.006307193,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.0838579,0.063598775,0.008122491,0.00610482
Pre-treatment_Post-treatment,0.046879059,Otu00012,0.00032694,0.002109206,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.002512136,0.003393266,0.075658368,0.024513195
Pre-treatment_Post-treatment,0.045955231,Otu00006,0.291615165,0.412153134,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.07165183,0.097066583,0.00233516,0.005143558
Pre-treatment_Post-treatment,0.041705353,Otu00011,0.156701665,0.287286386,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.065375134,0.069248093,0.000467379,0.000488341
Pre-treatment_Post-treatment,0.041306428,Otu00014,0.000133114,0.002109206,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0,0,0.06445697,0.027301251
Pre-treatment_Post-treatment,0.038448491,Otu00013,0.963700892,0.963700892,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.059605048,0.07459827,0.003792858,0.003613456
Pre-treatment_Post-treatment,0.034943677,Otu00004,0.002315807,0.00727825,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.051729271,0.015810362,0.104364382,0.03034977
Pre-treatment_Post-treatment,0.032509448,Otu00010,0.000346122,0.002109206,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.009592451,0.005527549,0.06030337,0.018478357
Pre-treatment_Post-treatment,0.024176773,Otu00015,0.000479365,0.002109206,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.037784131,0.024141009,0,0
Male_Female,0.068312217,Otu00002,0.824122747,0.899173816,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.072894275,0.082949181,0.087652534,0.088160224
Male_Female,0.068295893,Otu00001,0.23938572,0.379949808,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.034944729,0.037690692,0.099262315,0.105122103
Male_Female,0.064408694,Otu00006,0.000404415,0.002109206,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.083235364,0.097407065
Male_Female,0.04653116,Otu00011,0.007669765,0.021091853,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.013561068,0.042332356,0.057121493,0.068411815
Male_Female,0.045518111,Otu00005,0.722282963,0.882790288,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.056248093,0.063615331,0.033167824,0.053020448
Male_Female,0.042565651,Otu00013,0.142814491,0.285628982,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.055274216,0.071552002,0.002229874,0.002894071
Male_Female,0.03468404,Otu00012,0.858302279,0.899173816,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.038415771,0.040749422,0.039922102,0.044755263
Male_Female,0.030972295,Otu00014,0.849427953,0.899173816,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.033722454,0.038730794,0.030361023,0.039835613
Male_Female,0.030899468,Otu00004,0.533964013,0.691012253,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.081750461,0.03709615,0.073417282,0.036138436
Male_Female,0.026611192,Otu00009,0.299747734,0.412153134,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.034192725,0.087665165,0.000263019,0.000743931
Male_Female,0.026229524,Otu00008,0.241786242,0.379949808,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.006203764,0.011225167,0.033905787,0.038960501
