"","Comparison","SIMPER","OTU"
"1","Pre-treatment_Post-treatment",0.0892000086465922,"Otu00001"
"2","Pre-treatment_Post-treatment",0.0832775839771498,"Otu00007"
"3","Pre-treatment_Post-treatment",0.058250129621105,"Otu00023"
"4","Pre-treatment_Post-treatment",0.049401677300494,"Otu00008"
"5","Pre-treatment_Post-treatment",0.042726490118531,"Otu00006"
"6","Pre-treatment_Post-treatment",0.037359260801516,"Otu00013"
"7","Pre-treatment_Post-treatment",0.034099080668904,"Otu00009"
"8","Pre-treatment_Post-treatment",0.032054439801146,"Otu00003"
"9","Pre-treatment_Post-treatment",0.031413523931356,"Otu00011"
"10","Pre-treatment_Post-treatment",0.030035554462373,"Otu00015"
"11","Male_Female",0.0863166997719743,"Otu00001"
"12","Male_Female",0.0846799472034957,"Otu00007"
"13","Male_Female",0.06383501921061,"Otu00006"
"14","Male_Female",0.055201910547874,"Otu00008"
"15","Male_Female",0.045095918640237,"Otu00023"
"16","Male_Female",0.038756609891768,"Otu00009"
"17","Male_Female",0.038483645079428,"Otu00013"
"18","Male_Female",0.034327591587748,"Otu00011"
"19","Male_Female",0.032853205858244,"Otu00003"
