"","Comparison","SIMPER","OTU"
"1","Low Fat_High Fat",0.0823624647178603,"Otu00002"
"2","Low Fat_High Fat",0.0625238146953907,"Otu00007"
"3","Low Fat_High Fat",0.057558785434503,"Otu00004"
"4","Low Fat_High Fat",0.047085638897238,"Otu00023"
"5","Low Fat_High Fat",0.044966969809608,"Otu00012"
"6","Low Fat_High Fat",0.040266360684468,"Otu00014"
"7","Low Fat_High Fat",0.033392675346367,"Otu00001"
"8","Low Fat_High Fat",0.032586616847999,"Otu00010"
"9","Low Fat_High Fat",0.024805316655554,"Otu00008"
"10","Low Fat_High Fat",0.023909666369991,"Otu00003"
"11","Low Fat_High Fat",0.020624153854884,"Otu00011"
"12","Low Fat_High Fat",0.02049618425305,"Otu00006"
"13","Low Fat_Saccharin",0.0956961761944264,"Otu00002"
"14","Low Fat_Saccharin",0.0630402259899446,"Otu00007"
"15","Low Fat_Saccharin",0.05742516817976,"Otu00004"
"16","Low Fat_Saccharin",0.047679739690299,"Otu00023"
"17","Low Fat_Saccharin",0.039805391357368,"Otu00012"
"18","Low Fat_Saccharin",0.037473748390683,"Otu00001"
"19","Low Fat_Saccharin",0.035784619149023,"Otu00010"
"20","Low Fat_Saccharin",0.024967718006232,"Otu00008"
"21","Low Fat_Saccharin",0.024826745777608,"Otu00009"
"22","Low Fat_Saccharin",0.020832646564888,"Otu00021"
"23","Low Fat_Saccharin",0.020739962327976,"Otu00011"
"24","Low Fat_Saccharin",0.020656958139227,"Otu00006"
"25","Low Fat_Stevia",0.061092463469631,"Otu00007"
"26","Low Fat_Stevia",0.054399691116227,"Otu00014"
"27","Low Fat_Stevia",0.048235023855543,"Otu00023"
"28","Low Fat_Stevia",0.047213868576557,"Otu00004"
"29","Low Fat_Stevia",0.046258074942683,"Otu00012"
"30","Low Fat_Stevia",0.043335580337866,"Otu00002"
"31","Low Fat_Stevia",0.042849481288587,"Otu00010"
"32","Low Fat_Stevia",0.039478851136762,"Otu00001"
"33","Low Fat_Stevia",0.024732917182339,"Otu00008"
"34","Low Fat_Stevia",0.02233496048203,"Otu00018"
"35","Low Fat_Stevia",0.021214086455747,"Otu00003"
"36","Low Fat_Stevia",0.020688947524287,"Otu00021"
"37","Low Fat_Stevia",0.020636574906709,"Otu00011"
"38","High Fat_Saccharin",0.137488465973575,"Otu00002"
"39","High Fat_Saccharin",0.06099935163996,"Otu00001"
"40","High Fat_Saccharin",0.0466670132924,"Otu00009"
"41","High Fat_Saccharin",0.042652508439123,"Otu00004"
"42","High Fat_Saccharin",0.041551263004478,"Otu00012"
"43","High Fat_Saccharin",0.040707061975851,"Otu00003"
"44","High Fat_Saccharin",0.040497736547165,"Otu00014"
"45","High Fat_Saccharin",0.032481709396973,"Otu00010"
"46","High Fat_Saccharin",0.026979943099184,"Otu00046"
"47","High Fat_Saccharin",0.026391931864616,"Otu00051"
"48","High Fat_Stevia",0.12738598975448,"Otu00002"
"49","High Fat_Stevia",0.053567291881927,"Otu00018"
"50","High Fat_Stevia",0.049941291589305,"Otu00001"
"51","High Fat_Stevia",0.044483968557647,"Otu00014"
"52","High Fat_Stevia",0.044206896892658,"Otu00004"
"53","High Fat_Stevia",0.043631599614714,"Otu00010"
"54","High Fat_Stevia",0.038906508620106,"Otu00007"
"55","High Fat_Stevia",0.037262460633227,"Otu00003"
"56","High Fat_Stevia",0.032135144571605,"Otu00029"
"57","Saccharin_Stevia",0.134326538302229,"Otu00002"
"58","Saccharin_Stevia",0.068139973073269,"Otu00001"
"59","Saccharin_Stevia",0.061893043657866,"Otu00014"
"60","Saccharin_Stevia",0.044216985350379,"Otu00004"
"61","Saccharin_Stevia",0.043239954399714,"Otu00010"
"62","Saccharin_Stevia",0.042881873599008,"Otu00018"
"63","Saccharin_Stevia",0.039956586355411,"Otu00009"
"64","Saccharin_Stevia",0.036748356465673,"Otu00012"
"65","Male_Female",0.0915485015006323,"Otu00002"
"66","Male_Female",0.0532077031750627,"Otu00007"
"67","Male_Female",0.046483866804575,"Otu00004"
"68","Male_Female",0.045643824883176,"Otu00001"
"69","Male_Female",0.038294213682602,"Otu00012"
"70","Male_Female",0.03621780102391,"Otu00014"
"71","Male_Female",0.034847789181542,"Otu00010"
"72","Male_Female",0.034529474525465,"Otu00023"
"73","Male_Female",0.025946254493352,"Otu00003"
"74","Male_Female",0.023905545096578,"Otu00009"
"75","Male_Female",0.023746389319452,"Otu00018"
"76","Male_Female",0.017740457989767,"Otu00029"
"77","Male_Female",0.017085083125942,"Otu00008"
