Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre,Low Fat_High Fat,0.111895688,Otu00001,0.251071195,0.435925812,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.106934657,0.134523338,0.057251324,0.114182811
Pre,Low Fat_High Fat,0.07561499,Otu00006,1,1,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.048681388,0.064397564,0.07165183,0.097066583
Pre,Low Fat_High Fat,0.061189515,Otu00013,0.894641928,0.942356164,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.049083854,0.054261152,0.059605048,0.07459827
Pre,Low Fat_High Fat,0.057676637,Otu00005,0.094022045,0.200749772,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.037260338,0.028763812,0.0838579,0.063598775
Pre,Low Fat_High Fat,0.057665078,Otu00011,0.402411972,0.583312767,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.045103043,0.043442503,0.065375134,0.069248093
Pre,Low Fat_High Fat,0.057566558,Otu00007,0.322351566,0.500771101,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.058235949,0.102558928,0.011179856,0.022560401
Pre,Low Fat_High Fat,0.055511169,Otu00009,0.24659678,0.43575185,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.037591262,0.068701063,0.03122807,0.093684211
Pre,Low Fat_Saccharin,0.108230582,Otu00001,0.675464147,0.779002446,Tenericutes - Mollicutes - Anaeroplasmatales - Anaeroplasmataceae - Anaeroplasma,0.106934657,0.134523338,0.071688555,0.098947094
Pre,Low Fat_Saccharin,0.084708822,Otu00005,0.072448014,0.165895451,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.037260338,0.028763812,0.115047414,0.114382312
Pre,Low Fat_Saccharin,0.064268119,Otu00006,0.560848072,0.709736186,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.048681388,0.064397564,0.063421943,0.074860586
Pre,Low Fat_Saccharin,0.056487518,Otu00007,0.170899356,0.332908729,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.058235949,0.102558928,0.01055645,0.031669351
Pre,Low Fat_Saccharin,0.050126187,Otu00008,0.414216178,0.594965056,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.079279403,0.053141211,0.053212368,0.042087144
Pre,Low Fat_Saccharin,0.046306988,Otu00013,0.507865941,0.663163791,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.049083854,0.054261152,0.031214506,0.042133095
Pre,Low Fat_Saccharin,0.040505868,Otu00011,0.834114953,0.891345597,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0.045103043,0.043442503,0.045476616,0.040859423
Pre,Low Fat_Saccharin,0.036844819,Otu00021,0.924798272,0.956183605,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.012543307,0.02659529,0.035115925,0.066184108
Pre,Low Fat_Stevia,0.109869425,Otu00001,0.521452381,0.670685438,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Oscillibacter,0.106934657,0.134523338,0.054607467,0.085151057
Pre,Low Fat_Stevia,0.066834201,Otu00006,0.925924631,0.956183605,Firmicutes - Clostridia - Clostridiales - Clostridiales_vadinBB60_group - Clostridiales_vadinBB60_group_ge,0.048681388,0.064397564,0.06500118,0.070604239
Pre,Low Fat_Stevia,0.065968315,Otu00013,0.342497626,0.512522057,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.049083854,0.054261152,0.070090647,0.075501788
